row_id,source_system,reported_by,reported_by_tax_id,reported_by_country,declared_supplier,declared_supplier_tax_id,declared_supplier_country,relationship_type,last_updated,notes
1,portal_v2,"Meridian  Foundry  Co.,  Ltd. ",6936664761,VN,Highland Steel Sp. z .oo.,PL7859126165,Poland,finishing,,
2,legacy_manual_import,GLOBAL ALLOYS SARL,FR02653954607,France,Pacific  Metals  Inc. ,11-7347262,US,raw material,12-03-2023,"Data provided via phone, not verified"
3,portal_v2,Global  Alloys  SARL ,,France,COPPERFIELD METALS A.Ş.,991853679,Turkey,packaging,28/03/2023,
4,portal_v2,global alloys sarl,FR02653954607,France,Pacific Meatls Inc.,11-7347262,USA,logistics,05/03/2025,
5,portal_v2,Horizon Alloys SARL,381866192115924,Morocco,NORTHGATE TRADING SARL,,France,RAW_MATERIAL,23/03/2022,
6,portal_v1,ALPINE COATINGS SARL,102439281045618,Maroc,Bluewater Industries A.Ş.,2249294184,Türkiye,Raw Material,2024-02-04,Pending re-confirmation
7,portal_v2,"Meirdian Foundry Co., Ltd.",6936664761,Vietnam,OAKRIDGE PLASTICS PVT. LTD.,,IN,packaging,21/08/2023,
8,portal_v2,CORNERSTONE FASTENERS S.A.,ES20546820H,ES,RoyalL eather S.p.A.,IT20429306986,Italy,Raw Material,28/01/2022,Contrato renovado según acuerdo marco
9,portal_v1,Andean Assemblies S.p.A.,IT38826320735,Italia,Summit Trading ASRL,,FR,raw_material,2022-10-01,Confirmación pendiente por parte del proveedor
10,legacy_manual_import,Global Electronics SA,ES50165258A,ES,Silverline Componetns SAS,FR42403927449,France,logistics,03-16-2022,Contact information outdated
11,portal_v2,Alpine  Coatings  SARL ,102439281045618,Maroc,Anatolian  Polymers  Inc. ,30-6364630,United States,logistics,13/12/2023,Contact information outdated
12,portal_v1,Atlantic Trading B.V.,NL274449316B37,NL,EastfieldL eather SAS,FR18801882497,FR,raw_material,2025-02-11,Confirmación pendiente por parte del proveedor
13,portal_v2,PREMIER COATINGS A.Ş.,47528-92539,TR,Highland Weaving A.Ş.,,TR,subcontracted_labor,26/10/2024,"Data provided via phone, not verified"
14,portal_v2,Rhine Packaging Lda,PT928840726,Portugal,Irongate Logistics BV,NL511393683B38,NL,raw_material,19/05/2023,Duplicate of prior quarter submission
15,portal_v2,Cornerstone  Fasteners  S.A. ,,España,Royal Leather SpA,,IT,raw_material,17/02/2025,Société certifiée ISO 9001
16,portal_v2,copperfield group s.l.,ES027-93116B,ES,Bluewater SteelS .p.A.,IT04283502536,Italy,dyeing,25/01/2025,segÃºn acuerdo
17,portal_v2,Horizon Dyeworks AŞ,5797626609,Türkiye,###,1043205340,VN,RAW_MATERIAL,27/08/2023,
18,legacy_manual_import,NorthGate Textiles SA,ES60227680G,Espagne,Highland Plastics SpA,IT2440648066,IT,raw material,06-12-2022,
19,portal_v1,Meridian Fasteners Ltd,GB212776106,United Kingdom,Nordic Fibers SAS,FR32114540305,FR,component,2024-09-26,Backup supplier - low volume
20,portal_v2,GOLDEN TOOLING SP. Z O.O.,PL2144229485,PL,Oakridge Logistics AŞ,7963609841,Turkey,logistics,01/05/2022,Şirket 2021'de denetlendi
21,portal_v1,iberian machinery ltd.,GB910116526,United Kingdom,REDSTONE ELECTRONICS B.V.,NL 912755756B86,Holland,components,2022-10-16,
22,portal_v1,Global Alloys SARL,FR02653954607,FR,Continental Textiles Pvt Ltd,,IN,finishing,2023-04-14,
23,portal_v2,OAKRIDGE PLASTICS PVT. LTD.,94HXCVS3375A1Z5,India,United  Electronics  Lda. ,PT936220143,Portugal,finishing,07/03/2025,
24,portal_v2,Northgate Machinery Ldt.,GB144982519,GB,Premier Dyeworks AŞ,,TR,packaging,28/08/2024,
25,portal_v2,Horizo nAlloys SARL,,MA,Oakridge Textiles BV,NL886154196B97,Holland,logistics,27/09/2022,Fornecedor homologado em 2023
26,portal_v1,Southbay Leather B.V.,NL638797541B81,Holland,"Irongate Ceramics Co, Ltd",,VN,raw material,2024-02-29,
27,legacy_manual_import,Eastfield  Components  SARL ,FR58653776073,FR,Crestwood Dyeworks SAS,,France,Raw Material,03-28-2024,
28,portal_v2,northgate machinery ltd.,GB144982519,GB,Cornerstone Alloys B.V.,NL683629854B33,Netherlands,Raw Material,04/08/2022,
