entity_id,canonical_name,core_name,legal_suffix,tax_id,country,raw_variants,mention_count
E001,###,,,1043205340,VN,### | �,3
E002,###,,,,PT,###,2
E003,###,,,,DE,###,1
E004,-,,,60227680G,ES,-,1
E005,###,,,,GB,###,1
E006,�,,,04077145284,IT,�,1
E007,�,,,5797626609,TR,�,1
E008,-,,,535425961,DE,-,1
E009,-,,,06JURYD6700A1Z5,IN,-,1
E010,Adnean Plastics S.r.l.,adnean plastics s r l,,09674857331,,Adnean Plastics S.r.l.,1
E011,Adnean Plastics S.r.l.,adnean plastics s r l,,,IT,Adnean Plastics S.r.l.,1
E012,Aepx Industries A.Ş.,aepx industries,a s,6656315572,TR,Aepx Industries A.Ş.,1
E013,Alpine Assemblies A.Ş.,alpine assemblies,a s,1619347714,TR,Alpine Assemblies A.Ş. | Alpine Assemblies AŞ | Alpine Assemblies AŞ..,5
E014,Alpine Chemicals SARL,alpine chemicals,sarl,663846623328168,MA,ALPINE CHEMICALS SARL | Alpine Chemicals SARL | alpine chemicals sarl,6
E015,Alpine Chemicals SARL,alpine chemicals,sarl,66384662332816,MA,Alpine Chemicals SARL,1
E016,Alpine Coatings SARL,alpine coatings,sarl,102439281045618,MA,ALPINE COATINGS SARL | Alpine Coaitngs SARL | Alpine Coatings SARL | alpine coatings sarl,26
E017,Alpine Fibers GmbH,alpine fibers,gmbh,662610051,DE,ALPINE FIBERS GMBH | Alpine Fibers GmbH | alpine fibers gmbh,5
E018,Alpine Materials Ltd.,alpine materials,ltd,409940422,GB,ALPINE MATERIALS LTD. | Alpine Materials Ltd | Alpine Materials Ltd. | alpine materials ltd.,9
E019,Alpine Materials Ltd.,alpine materials,ltd,,,Alpine Materials Ltd.,1
E020,Alpine Plastics A.Ş.,alpine plastics,a s,0683495249,TR,Alpine Plastics A.Ş. | Alpine Plastics AŞ,5
E021,Alpine Tradin gSARL,alpine trading,sarl,274958225941535,MA,Alpine Tradin gSARL | Alpine Trading SARL | alpine trading sarl,4
E022,Alpine Weaving S.L.,alpine weaving,s l,88454746C,ES,ALPINE WEAVING S.L. | Alpine Weaving S.L. | Alpine Weaving SL | Alpnie Weaving S.L. | alpine weaving s.l.,25
E023,ALPINE YARNS S.A.,alpine yarns,s a,38927331G,ES,ALPINE YARNS S.A. | Alpine Yarns S.A. | Alpine Yarns SA | Alpine Yrans S.A.,5
E024,AlpineP lastics A.Ş.,alpinep lastics,a s,83495249,TR,AlpineP lastics A.Ş.,1
E025,Anatolian Ceramics S.L.,anatolian ceramics,s l,74672173A,ES,ANATOLIAN CERAMICS S.L. | Anatolian Ceramics S.L. | Anatolian Ceramisc S.L. | anatolian ceramics s.l.,5
E026,Anatolian Machinery A.Ş.,anatolian machinery,a s,3715490387,TR,ANATOLIAN MACHINERY A.Ş. | Anatolian Machienry A.Ş. | Anatolian Machinery A.Ş. | anatolian machinery a.ş.,9
E027,Anatolian Materials A.Ş.,anatolian materials,a s,2337786746,TR,Anatolain Materials A.Ş. | Anatolian Materials A.Ş. | anatolian materials a.ş.,4
E028,Anatolian Metals SARL,anatolian metals,sarl,62182564559,FR,ANATOLIAN METALS SARL | Anatolian Metals SARL | Anatolina Metals SARL | anatolian metals sarl,16
E029,Anatolian Polymers Inc.,anatolian polymers,inc,306364630,US,Anatolian Polymers Inc. | Anatolian Poylmers Inc. | anatolian polymers inc.,4
E030,ANATOLIAN POLYMERS SARL,anatolian polymers,sarl,413403018954648,MA,ANATOLIAN POLYMERS SARL | Anatolian Polymers SARL | Anatolian Polymesr SARL | anatolian polymers sarl,7
E031,Anatolian Yarns Sp. z o.o.,anatolian yarns,sp z o o,0677017673,PL,Anatloian Yarns Sp. z o.o. | Anatolian Yarns Sp z oo | Anatolian Yarns Sp. z o.o. | anatolian yarns sp. z o.o.,12
E032,ANATOLIAN YARNS SP. Z O.O.,anatolian yarns,sp z o o,,,ANATOLIAN YARNS SP. Z O.O. | Anatolian Yarns Sp. z o.o.,2
E033,Andean Assemblies S.p.A.,andean assemblies s p a,,38826320735,IT,ANDEAN ASSEMBLIES S.P.A. | Andean Assemblies .Sp.A. | Andean Assemblies S.p.A. | Andean Assemblies SpA | andean assemblies s.p.a.,25
E034,Andean Assemblies SpA,andean assemblies spa,,,,Andean Assemblies SpA,1
E035,andean components b.v.,andean components b v,bv,029205177B36,NL,Andean Components .BV. | Andean Components B.V. | andean components b.v.,5
E036,Andean Components Lda.,andean components lda,,761747749,PT,ANDEAN COMPONENTS LDA. | Andean Components Lda. | andean components lda.,5
E037,andean leather pvt. ltd.,andean leather,pvt ltd,02HCGCH6332A1Z5,IN,ANDEAN LEATHER PVT. LTD. | Andean Leather Pvt Ltd | Andean Leather Pvt. Ltd. | Andean Letaher Pvt. Ltd. | andean leather pvt. ltd.,34
E038,"Andean Leather Co., Ltd.",andean leather,co ltd,DNCWF820JL0Q221BH9,CN,"ANDEAN LEATHER CO., LTD. | Andean Leather C.o, Ltd. | Andean Leather Co, Ltd | Andean Leather Co., Ltd. | andean leather co., ltd.",31
E039,Andean Machinery A.Ş.,andean machinery,a s,3690557991,TR,Andean Machinery A.Ş.,3
E040,andean plastics s.r.l.,andean plastics s r l,,09674857331,IT,ANDEAN PLASTICS S.R.L. | andean plastics s.r.l.,5
E041,Andean Plastics Srl,andean plastics srl,,,IT,Andean Plastics Srl,2
E042,"ANDEAN STEEL CO., LTD.",andean steel,co ltd,12TKN77WAW76RRRX,CN,"ANDEAN STEEL CO., LTD. | Andean Steel Co., Ltd. | Andean tSeel Co., Ltd. | andean steel co., ltd.",5
E043,Apex Ceramics Sp z oo,apex ceramics,sp z oo,5983766493,PL,Apex Ceramics Sp z oo,2
E044,APEX CERAMICS SP. Z O.O.,apex ceramics,sp z o o,,,APEX CERAMICS SP. Z O.O.,1
E045,Apex Circuits SpA,apex circuits spa,,59296256706,IT,APEX CIRCUITS S.P.A. | Apex Circuits S..pA. | Apex Circuits SpA | apex circuits s.p.a.,8
E046,APEX CIRCUITS S.P.A.,apex circuits s p a,,,,APEX CIRCUITS S.P.A.,1
E047,Apex Coatings Lda,apex coatings lda,,541466438,PT,APEX COATINGS LDA. | Apex Coatings Lda | Apex Coatings Lda.,5
E048,"Apex Components Co., Ltd.",apex components,co ltd,WCF8F792RN2BJZLJUT,CN,"APEX COMPONENTS CO., LTD. | Apex Components Co., Ltd.",3
E049,Apex Industries A.Ş.,apex industries,a s,6656315572,TR,APEX INDUSTRIES A.Ş. | Apex Industries A.Ş. | Apex Industries AŞ | apex industries a.ş.,11
E050,apex machinery gmbh,apex machinery,gmbh,660561327,DE,APEX MACHINERY GMBH | Apex Machinery GmbH | apex machinery gmbh,3
E051,Apex MachineryG mbH,apex machineryg mbh,,660561327,,Apex MachineryG mbH,3
E052,asdkjqwe123,asdkjqwe123,,,CN,asdkjqwe123,1
E053,Atlantic Fasteners Pvt. Ltd.,atlantic fasteners,pvt ltd,66ARKJO4166A1Z5,IN,Atlantic Fasteners Pvt. Ltd. | atlantic fasteners pvt. ltd.,3
E054,atlantic industries b.v.,atlantic industries b v,,118466507B21,NL,ATLANTIC INDUSTRIES B.V. | Atlantic Industries B.V. | Atlantic IndustriesB .V. | atlantic industries b.v.,6
E055,Atlantic Logistics S.r.l.,atlantic logistics s r l,,0407714528,IT,ATLANTIC LOGISTICS S.R.L. | Atlanti cLogistics S.r.l. | Atlantic Logistics S.r.l. | Atlantic Logistics Srl | atlantic logistics s.r.l.,28
E056,Atlantic Logistics Srl,atlantic logistics srl,,,,Atlantic Logistics Srl,1
E057,"Atlantic Steel Co., Ldt.",atlantic steel co ldt,co ltd,6809149499,VN,"ATLANTIC STEEL CO., LTD. | Atlantic Steel Co., Ldt. | Atlantic Steel Co., Ltd.",5
E058,Atlantic Textiles Pvt. Ltd.,atlantict extiles,pvt ltd,54METII2553A1Z5,IN,ATLANTIC TEXTILES PVT. LTD. | Atlantic Textiles Pvt. Ltd. | AtlanticT extiles Pvt. Ltd. | atlantic textiles pvt. ltd.,7
E059,Atlantic Trading B.V.,atlantic trading b v,bv,274449316B37,NL,ATLANTIC TRADING B.V. | Atlantic Trading B.V. | Atlantic Trading BV | Atlantic rTading B.V. | atlantic trading b.v.,22
E060,Baltic Chemicals BV,baltic chemicals,bv,192147365B35,NL,Baltic Chemicals B.V. | Baltic Chemicals BV | Baltic Chmeicals B.V. | baltic chemicals b.v.,6
E061,Baltic Fibers Ltd.,baltic fibers,ltd,,,Baltic Fibers Ltd.,1
E062,baltic foundry b.v.,baltic foundry b v,bv,127387209B07,NL,BALTIC FOUNDRY B.V. | Baltic Foundry B.V. | Baltic Foundry BV | Baltic Foundry BV.. | baltic foundry b.v.,26
E063,BALTIC LEATHER PVT. LTD.,baltic leather,pvt ltd,95OEZWM3402A1Z5,IN,BALTIC LEATHER PVT. LTD. | baltic leather pvt. ltd.,4
E064,Baltic Manufacturing SARL,baltic manufacturing,sarl,0394595620354,MA,Baltic Manufacturing SARL,3
E065,BALTIC METALS SARL,baltic metals,sarl,341339581700446,MA,BALTIC METALS SARL | Baltic Metals SARL | baltic metals sarl,5
E066,Baltic Tarding Ltd.,baltic tarding,ltd,,,Baltic Tarding Ltd.,1
E067,Baltic Trading Ltd.,baltic trading,ltd,261367723,GB,Baltic Tarding Ltd. | Baltic Trading Ltd | Baltic Trading Ltd.,8
E068,Batlic Fibers Ltd.,batlic fibers,ltd,655823297,GB,Baltic Fibers Ltd. | Batlic Fibers Ltd. | baltic fibers ltd.,5
E069,Batlic Manufacturing SARL,batlic manufacturing,sarl,,MA,Batlic Manufacturing SARL,1
E070,Bluewater Dyeworks SAS,bluewater dyweorks sas,,60253625246,FR,BLUEWATER DYEWORKS SAS | Bluewater Dyeworks SAS | Bluewater Dyweorks SAS | bluewater dyeworks sas,11
E071,BLUEWATER FOUNDRY S.A.,bluewater foundry,s a,36831880C,ES,BLUEWATER FOUNDRY S.A. | Bluewater Foundry S.A. | Bluewater Foundry SA,5
E072,Bluewater Industries A.Ş.,bluewater industries,a s,2249294184,TR,Bluewater Industries A.Ş. | bluewater industries a.ş.,9
E073,Bluewater Manufacturing S.r.l.,bluewater manufacturing s rl,,10862914220,IT,BLUEWATER MANUFACTURING S.R.L. | Bluewater Manufacturing S..rl. | Bluewater Manufacturing S.r.l. | Bluewater Manufacturing Srl | bluewater manufacturing s.r.l.,17
E074,Bluewater Steel S.p.A.,bluewater steel s p a,,,IT,Bluewater Steel S.p.A.,1
E075,bluewater steel s.p.a.,bluewater steel s p a,,04283502536,,bluewater steel s.p.a.,2
E076,Bluewater SteelS .p.A.,bluewater steels p a,,04283502536,IT,Bluewater SteelS .p.A.,1
