row_id,source_system,customer_entity_id,customer_canonical_name,customer_core_name,customer_suffix,customer_tax_id,customer_country,supplier_entity_id,supplier_canonical_name,supplier_core_name,supplier_suffix,supplier_tax_id,supplier_country,relationship_type_norm,last_updated_iso,notes
1,portal_v2,E295,"Meridian Foundry Co., Ltd.",meridian foundry,co ltd,6936664761,VN,E218,Highland Steel Sp. z o.o.,highland steel,sp z oo,PL7859126165,PL,finishing,,
2,legacy_manual_import,E183,Global Alloys SARL,global alloys,sarl,FR02653954607,FR,E369,Pacific Metals Inc.,pacific metals,inc,117347262,US,raw_material,2023-03-12,"Data provided via phone, not verified"
3,portal_v2,E183,Global Alloys SARL,global alloys,sarl,,FR,E127,Copperfield Metals A.Ş.,copperfield metals,a s,991853679,TR,packaging,2023-03-28,
4,portal_v2,E183,Global Alloys SARL,global alloys,sarl,FR02653954607,FR,E369,Pacific Metals Inc.,pacific meatls,inc,117347262,US,logistics,2025-03-05,
5,portal_v2,E224,Horizon Alloys SARL,horizon alloys,sarl,381866192115924,MA,E340,Northgate Trading SARL,northgate trading,sarl,,FR,raw_material,2022-03-23,
6,portal_v1,E016,Alpine Coatings SARL,alpine coatings,sarl,102439281045618,MA,E092,Bluewater Industries A.Ş.,bluewater industries,a s,2249294184,TR,raw_material,2024-02-04,Pending re-confirmation
7,portal_v2,E295,"Meridian Foundry Co., Ltd.",meirdian foundry,co ltd,6936664761,VN,E353,OAKRIDGE PLASTICS PVT. LTD.,oakridge plastics,pvt ltd,,IN,packaging,2023-08-21,
8,portal_v2,E139,CORNERSTONE FASTENERS S.A.,cornerstone fasteners,s a,ES20546820H,ES,E420,RoyalL eather S.p.A.,royall eather s p a,,IT20429306986,IT,raw_material,2022-01-28,Contrato renovado según acuerdo marco
9,portal_v1,E038,Andean Assemblies S.p.A.,andean assemblies s p a,,IT38826320735,,E473,Summit Trading SARL,summit trading asrl,,,FR,raw_material,2022-10-01,Confirmación pendiente por parte del proveedor
10,legacy_manual_import,E189,Global Electronics S.A.,global electronics,sa,ES50165258A,ES,E422,Silverline Componetns SAS,silverline componetns sas,,FR42403927449,FR,logistics,2022-03-16,Contact information outdated
11,portal_v2,E016,Alpine Coatings SARL,alpine coatings,sarl,102439281045618,MA,E033,Anatolian Polymers Inc.,anatolian polymers,inc,306364630,US,logistics,2023-12-13,Contact information outdated
12,portal_v1,E075,Atlantic Trading B.V.,atlantic trading b v,,NL274449316B37,NL,E180,EastfieldL eather SAS,eastfieldl eather sas,,FR18801882497,FR,raw_material,2025-02-11,Confirmación pendiente por parte del proveedor
13,portal_v2,E374,PREMIER COATINGS A.Ş.,premier coatings,a s,4752892539,TR,E221,highland weaving a.ş.,highland weaving,a s,,TR,subcontracted_labor,2024-10-26,"Data provided via phone, not verified"
14,portal_v2,E403,Rhine Packaging Lda.,rhine packaging lda,,PT928840726,PT,E274,IRONGATE LOGISTICS B.V.,irongate logistics,bv,NL511393683B38,NL,raw_material,2023-05-19,Duplicate of prior quarter submission
15,portal_v2,E139,CORNERSTONE FASTENERS S.A.,cornerstone fasteners,s a,,ES,E415,Royal Leather SpA,royal leather spa,,,IT,raw_material,2025-02-17,Société certifiée ISO 9001
16,portal_v2,E124,Copperfield Group S.L.,copperfield group,s l,ES02793116B,ES,E097,Bluewater SteelS .p.A.,bluewater steels p a,,IT04283502536,IT,dyeing,2025-01-25,segÃºn acuerdo
17,portal_v2,E227,Horizon Dyeworks AŞ,horizon dyeworks,as,5797626609,TR,E001,###,,,1043205340,VN,raw_material,2023-08-27,
18,legacy_manual_import,E336,NorthGate Textiles S.A.,northgate textiles,sa,ES60227680G,,E216,Highland Plastics SpA,highland plastics spa,,IT2440648066,IT,raw_material,2022-12-06,
19,portal_v1,E292,Meridian Fasteners Ltd.,meridian fasteners,ltd,GB212776106,GB,E318,Nordic Fibers SAS,nordic fibers sas,,FR32114540305,FR,component,2024-09-26,Backup supplier - low volume
20,portal_v2,E204,Golden Tooling Sp. z o.o.,golden tooling,sp z o o,PL2144229485,PL,E350,Oakridge Logistics A.Ş.,oakridge logistics,as,7963609841,TR,logistics,2022-05-01,Şirket 2021'de denetlendi
21,portal_v1,E251,iberian machinery ltd.,iberian machinery,ltd,GB910116526,GB,E392,REDSTONE ELECTRONICS B.V.,redstone electronics b v,,NL912755756B86,,components,2022-10-16,
22,portal_v1,E183,Global Alloys SARL,global alloys,sarl,FR02653954607,FR,E109,Contienntal Textiles Pvt. Ltd.,continental textiles,pvt ltd,,IN,finishing,2023-04-14,
23,portal_v2,E353,OAKRIDGE PLASTICS PVT. LTD.,oakridge plastics,pvt ltd,94HXCVS3375A1Z5,IN,E488,United Electronics Lda.,united electronics lda,,PT936220143,PT,finishing,2025-03-07,
24,portal_v2,E328,Northgate Machinery Ldt.,northgate machinery ldt,,GB144982519,GB,E376,Premier Dyeworks A.Ş.,premier dyeworks,as,,TR,packaging,2024-08-28,
